,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,101.54406929016113,0.2933632532755534,0.5342442645074224,0.943882164690007,0.6,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6}",10,0.533985495024456,0.9425558835934205,0.5350877192982456,0.9473684210526315,0.5336595242112367,0.941722189423969,0.6955531303246348,0.001882255761782167,0.0006110789529642095,0.0024885402764806153
1,109.45322036743164,0.29668696721394855,0.5326135852451642,0.9491959796927141,0.6,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.6}",15,0.5306122448979592,0.9479544495993252,0.5404858299595142,0.9542847503373819,0.5267420280074236,0.9453487391414355,1.3436401242080638,0.008526769838094583,0.0057864106445098505,0.0037522545891870533
2,113.83380667368571,0.28774364789326984,0.5369995501574449,0.9515577693107645,0.6,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.6}",2,0.5370214201383032,0.9512442007591734,0.5379554655870445,0.9589237516869096,0.5360215960857094,0.9445053554862107,0.9177011174921758,0.0006606490730274326,0.0007896171048192304,0.005890460150531081
3,115.63773234685262,0.2812209924062093,0.5363247863247863,0.9495896369865777,0.6,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.6}",4,0.5343228200371057,0.9491353859131169,0.5359311740890689,0.9547064777327935,0.5387211067993926,0.944927047313823,0.7149110558991612,0.0010415523737773308,0.00181703594117523,0.004005335845941547
4,118.0204443136851,0.2972649733225505,0.5340193432298695,0.9464405873176923,0.7,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.7}",13,0.5349974700624052,0.9433994095318431,0.5362685560053981,0.9513326585695007,0.5307912940779483,0.9445896938517332,1.6574543965900572,0.008747262913814592,0.002340540900360847,0.0034931805030298056
5,121.28291296958923,0.28285670280456543,0.5350877192982456,0.9512203044021037,0.7,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.7}",9,0.5289256198347108,0.9510754955714888,0.541497975708502,0.9552968960863698,0.5348405601484731,0.9472885215484524,0.3603134029197649,0.0009595594810970956,0.005135832935617996,0.003271008293371613
6,127.66338427861531,0.28104130427042645,0.5340755735492577,0.9523168335783604,0.7,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.7}",12,0.5321302074548828,0.9530156052298608,0.5399797570850202,0.9560560053981106,0.5301164163995276,0.9478788901071097,0.7309923196598459,0.0013948581839144862,0.0042550656863541815,0.003374661957024824
7,134.69740200042725,0.2818605899810791,0.5336819613135403,0.9543973767364039,0.7,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.7}",14,0.5326361949738573,0.9530156052298608,0.5381241565452092,0.9630566801619433,0.5302851358191328,0.9471198448174074,1.0554069838099795,0.0006153799525188025,0.003284478000649573,0.0065791412596646745
8,133.56017899513245,0.2856919765472412,0.5355937921727395,0.9465811797212696,0.8,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.8}",7,0.5316242199359082,0.9448334036271615,0.5372807017543859,0.9494770580296896,0.5378775097013666,0.9454330775069579,1.1090777315368487,0.0018615600515183783,0.002817819002585142,0.0020622779595082658
9,141.0734920501709,0.28376022974650067,0.535706252811516,0.953581939891424,0.8,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.8}",6,0.53516613256873,0.954027836355968,0.5401484480431848,0.9551282051282052,0.5318036105955796,0.9515897781900987,0.13233555933829905,0.003188318962227388,0.003427969494393583,0.0014785655304830703
10,149.6392912864685,0.28199561436971027,0.5371120107962213,0.9548190258898576,0.8,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.8}",1,0.5331421824928319,0.9545339519190215,0.5421727395411606,0.958502024291498,0.5360215960857094,0.9514211014590537,1.1670595856347725,0.00220294605333248,0.0037666065340143683,0.002897794266494673
11,153.075493256251,0.28048205375671387,0.5361560953666217,0.9521199847647415,0.8,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.8}",5,0.5343228200371057,0.9499789118515395,0.5376180836707153,0.9600202429149798,0.536527754344525,0.9463607995277051,2.4562412263114743,0.0018869058303286259,0.001370764054922499,0.005778306748940425
12,146.89288465181986,0.2847136656443278,0.5317139001349528,0.9488866797450668,0.9,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.9}",16,0.5282509698094113,0.9491353859131169,0.5350877192982456,0.9498144399460189,0.5318036105955796,0.9477102133760648,0.9228359636129865,0.001411004718623412,0.002791929542932444,0.0008768631337309991
13,156.4970746835073,0.2825443744659424,0.5342442645074224,0.953582013397409,0.9,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.9}",10,0.5302749198853095,0.9538591311682835,0.5411605937921727,0.9580802968960864,0.531297452336764,0.948806612127857,0.9485916106463415,0.002989721399239908,0.004908367089467557,0.0037910335432722888
14,157.93209195137024,0.22289236386617026,0.5369433198380567,0.956477763412932,0.9,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.9}",3,0.5336481700118064,0.9565584141712358,0.541497975708502,0.9574055330634278,0.5356841572464991,0.9554693430041326,2.761998867561289,0.0018482823185871067,0.003326156796174263,0.0007925008496481885
15,147.17364875475565,0.21736558278401694,0.5354251012145749,0.9543689936226215,0.9,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.9}",8,0.5341541575307809,0.9509067903838043,0.5350877192982456,0.9576585695006747,0.5370339126033407,0.9545416209833854,3.1201333943552765,0.002806439163738723,0.0011996158214432101,0.0027591037753849335
