,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_child_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,62.7731671333313,0.15165098508199057,0.5326135852451642,0.5911494525007408,3,1,"{'max_depth': 3, 'min_child_weight': 1}",11,0.5311182324169337,0.5928300295234078,0.5374493927125507,0.5915148448043185,0.5292728193015016,0.5891034831744961,0.7084590433258048,0.0019186318004617866,0.003501443774944609,0.0015431397807245866
1,62.43269999821981,0.1506047248840332,0.5342442645074224,0.5900247868229104,3,3,"{'max_depth': 3, 'min_child_weight': 3}",9,0.5322988699612077,0.5906368620835091,0.5386302294197031,0.5904183535762483,0.5318036105955796,0.5890191448089735,0.47376347223600457,0.003307237967439108,0.003107929280285444,0.0007166697924346138
2,61.62734937667847,0.14632296562194824,0.5344129554655871,0.5895750367508832,3,5,"{'max_depth': 3, 'min_child_weight': 5}",7,0.53516613256873,0.5920708561788275,0.536774628879892,0.5894905533063428,0.531297452336764,0.5871637007674791,0.291881177831715,0.0030800877028706428,0.002298520910600558,0.002004228304873204
3,103.41007073720296,0.22853430112202963,0.5354251012145749,0.7483976860575238,5,1,"{'max_depth': 5, 'min_child_weight': 1}",4,0.533985495024456,0.7499789118515394,0.5404858299595142,0.7541329284750338,0.5318036105955796,0.7410812178459981,0.14108012642874465,0.005191289888019462,0.003687671935315183,0.005444385110353961
4,103.42304730415344,0.23160028457641602,0.5358749437696806,0.7394289595630473,5,3,"{'max_depth': 5, 'min_child_weight': 3}",2,0.5314555574295834,0.7422184732180515,0.5423414304993253,0.7430836707152496,0.5338282436308419,0.7329847347558405,0.4825371078524145,0.012441963155608433,0.004673970323744272,0.004570424247386904
5,102.81534894307454,0.22506038347880045,0.5350877192982456,0.7308818608549429,5,5,"{'max_depth': 5, 'min_child_weight': 5}",6,0.5346601450497555,0.730409110080135,0.5399797570850202,0.7378542510121457,0.5306225746583432,0.7243822214725478,0.3446539490205467,0.005499844469273457,0.003831841927050261,0.005510082573504733
6,147.78637806574503,0.28544267018636066,0.5371120107962213,0.9548190258898576,7,1,"{'max_depth': 7, 'min_child_weight': 1}",1,0.5331421824928319,0.9545339519190215,0.5421727395411606,0.958502024291498,0.5360215960857094,0.9514211014590537,0.8275330656261086,0.0030908777411646515,0.0037666065340143683,0.002897794266494673
7,146.06965033213297,0.2826697031656901,0.5357624831309041,0.9377530622198761,7,3,"{'max_depth': 7, 'min_child_weight': 3}",3,0.5307809074042841,0.9366512020244623,0.5369433198380567,0.9408738191632928,0.5395647038974186,0.9357341654718732,0.6746491237183552,0.0021249370626865,0.0036818972605642767,0.0022382406684133206
8,144.77508195241293,0.2823902765909831,0.5343004948268106,0.921418301386765,7,5,"{'max_depth': 7, 'min_child_weight': 5}",8,0.5301062573789846,0.9230704344158583,0.534919028340081,0.9242577597840755,0.5378775097013666,0.916926709960361,1.8036141572498994,0.0026349266483965367,0.003202606023763541,0.0032128108709573266
9,189.75752305984497,0.34877991676330566,0.5318263607737292,0.9997469517044197,9,1,"{'max_depth': 9, 'min_child_weight': 1}",12,0.5267330072524877,0.9994938844369464,0.5339068825910931,0.9998313090418354,0.5348405601484731,0.9999156616344775,0.13208258842906967,0.030804593091913638,0.0036221109220144787,0.00018222901593175993
10,178.73728028933206,0.3167880376180013,0.5351439496176338,0.9986223500546284,9,3,"{'max_depth': 9, 'min_child_weight': 3}",5,0.5338168325181312,0.9985660059046816,0.5379554655870445,0.9984817813765182,0.5336595242112367,0.9988192628826853,10.609037388231302,0.029138747242182583,0.001989079018099763,0.00014342114947737996
11,123.98522273699443,0.2641297181447347,0.5329509671614935,0.9956983781740133,9,5,"{'max_depth': 9, 'min_child_weight': 5}",10,0.526564344746163,0.9954449599325179,0.5344129554655871,0.9961201079622132,0.5378775097013666,0.9955300666273088,14.918442537589662,0.0024987177472277473,0.0047328625422934575,0.0003002252466242547
