,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1259.0299340089161,1.8495806852976482,0.42182498501834337,0.6810587729454872,0.9,0.1,0.068,3,0.9,"{'subsample': 0.9, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.1}",12,0.42543955803042927,0.6791273843455382,0.4202587151940364,0.6800622643164079,0.41977636483227365,0.6839866701745155,6.827894195383713,0.07448802852316418,0.0025635751952336728,0.0021052215683544377
1,1320.1983420054119,1.9748226801554363,0.42074338249265536,0.66728297888531,0.9,0.1,0.068,3,1.0,"{'subsample': 1.0, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.1}",31,0.4253080194677073,0.6668493751370314,0.41995176496382375,0.6674778567043761,0.41696996272747205,0.6675217048145224,1.2225350992092927,0.1664140977218714,0.0034497366745056654,0.00030712627379390927
2,1267.0869335333507,2.0447356700897217,0.42128418375549936,0.6755776559900765,0.9,0.1,0.068,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.1}",22,0.4239487876529136,0.6720675290506468,0.4181539136154352,0.6743181618872227,0.42174961631221225,0.6803472770323599,8.547302915428734,0.12546977147898297,0.002388545923292141,0.0034955496188260925
3,1318.437908967336,1.9443259239196777,0.4212257187541108,0.663424314428565,0.9,0.1,0.068,5,1.0,"{'subsample': 1.0, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.1}",26,0.4253080194677073,0.6647445735584302,0.42021486516114887,0.6634219065158292,0.4181539136154352,0.6621064632114356,4.064567698508326,0.21071154138610543,0.0030068621260021214,0.0010770053850879798
4,1266.964604695638,1.9976422786712646,0.42144496250931784,0.6888492204973762,0.9,0.1,0.071,3,0.9,"{'subsample': 0.9, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.1}",19,0.4243434033410795,0.6859679894759921,0.42039026529269896,0.6866833289485224,0.4196009647007235,0.6938963430676138,2.5611704900279406,0.17097779182596676,0.0020747716851293127,0.0035807831843040743
5,1337.0717419783275,1.81011962890625,0.42221962377771605,0.6767908850972563,0.9,0.1,0.071,3,1.0,"{'subsample': 1.0, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.1}",8,0.4252203270925593,0.678776584082438,0.4196009647007235,0.6768613522757169,0.42183731637798727,0.6747347189336139,30.197172876456744,0.089966854740774,0.0023099838667582227,0.0016508366944774518
6,1253.1753752231598,1.6953776677449544,0.42163497376383063,0.6817822664424469,0.9,0.1,0.071,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.1}",16,0.426623405094927,0.6791054593290945,0.418723964042973,0.6781548715250373,0.419557114667836,0.6880864684732088,5.184346656647683,0.048695287642379466,0.0035438681364296696,0.004474604394193415
7,1309.4425262610118,1.8574127356211345,0.4216934387652192,0.6668883990898281,0.9,0.1,0.071,5,1.0,"{'subsample': 1.0, 'learning_rate': 0.071, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.1}",15,0.4284210987854606,0.6704889278666959,0.41841701381276036,0.6684205910725248,0.41824161368121027,0.6617556783302639,1.7464809210606642,0.0723636362998602,0.00475792147609995,0.003726313734356162
8,1318.213226000468,1.7864750226338704,0.42124033500445796,0.6805179821506689,0.9,0.3,0.068,3,0.9,"{'subsample': 0.9, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.3}",25,0.4247380190292454,0.6793027844770884,0.41771541328656,0.6775190739279137,0.42126726595044944,0.6847320880470051,1.7034204083075795,0.02531596010407823,0.002867050978619561,0.003067509544669768
9,1350.7191434701283,1.681732972462972,0.4223511700308403,0.6669834177490369,0.9,0.3,0.068,3,1.0,"{'subsample': 1.0, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 3, 'gamma': 0.3}",6,0.4257903275310212,0.6714755536066652,0.42056566542424906,0.6681355783565728,0.4206972155229116,0.6613391212838726,23.383576315169037,0.024879104953560008,0.002432551121538087,0.004217615488069593
10,1296.2666783332825,1.7281279563903809,0.42147419501001215,0.6741233776415555,0.9,0.3,0.068,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.3}",18,0.42517648090498533,0.67325147993861,0.418636263977198,0.6713584144523371,0.4206095154571366,0.6777602385337193,27.075553485917773,0.015764572516326746,0.0027391597378818677,0.002685267472157685
11,1303.3247434298198,1.7426716486612956,0.42197114752181475,0.6623281443615019,0.9,0.3,0.068,5,1.0,"{'subsample': 1.0, 'learning_rate': 0.068, 'colsample_bytree': 0.9, 'min_child_weight': 5, 'gamma': 0.3}",9,0.4274564826588328,0.666980925235694,0.42074106555579915,0.662435324037534,0.41771541328656,0.6575681838112777,2.0772798488934017,0.07077621612817005,0.004070809197515965,0.0038434828730329416
